"","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-NL-6-FG1",0.624,0.128,0,251.753,-0.005,-0.217,0.178,0.075,0.278
"SA18-CB-7-FG1",0.489,0.108,0,-0.46,0.011,-0.187,-0.505,0.442,-0.345
"SL18-OI-15-FG1",0.446,0.095,0,9.998,-0.074,-0.686,-0.162,-0.09,0.087
"SA18-CB-10-FG1",0.448,0.07,0,35.093,-0.001,-0.315,0.366,0.402,-0.582
"SL18-NL-3-FG2",0.289,0.058,0,62.388,0.005,0.03,-0.286,-0.039,-0.386
"SA18-CB-10-FG2",0.243,0.048,0,5.344,0.011,-0.001,0.343,0.168,0.452
"SL18-OI-18-FG5",-0.112,0.031,0,-69.447,-0.048,0.21,0.65,0.155,0.303
"SL18-LD-13-FG2",0.152,0.027,0,45.635,0.002,0.372,-0.833,-0.15,-0.732
"SL18-OI-18-FG1",0.06,0.026,0,-44.287,-0.038,0.217,1.139,0.679,1.31
"SL18-SF-13-FG1",-0.006,0.026,0,-11.882,-0.006,0.138,0.246,-0.198,0.344
"SL18-NL-2-FG1",-0.02,0.02,0,6.891,0.001,0.375,0.301,0.16,-0.516
"SL18-OI-17-FG1",0.127,0.018,0,3.917,0.001,-0.242,-1.466,-0.372,-0.423
"SL18-OI-18-FG2",-0.056,0.012,0,-52.402,-0.063,-0.134,-0.392,-0.322,0.496
"SL18-OI-16-FG3",0.087,0.012,0,57.129,0.002,-0.471,-0.339,-1.013,-0.791
"SL18-NL-10-FG1",0.181,0.008,0,90.123,-0.072,0.073,-0.241,-0.268,-0.127
"SL18-SF-17-FG3",0.063,0.008,0,10.06,0.046,0.357,-0.028,-0.323,0.168
"SL18-OI-18-FG3",-0.081,0.004,0,-72.574,-0.037,-0.064,-0.287,-0.507,-0.308
"SA18-CB-4-FG3",0.118,0,0,-40.195,-0.006,-0.274,0.144,0.253,0.252
"SL18-OI-18-FG6",-0.066,-0.002,0,-41.843,-0.031,-0.341,-1.003,-1.121,-0.147
"SL18-NL-3-FG3",-0.032,-0.003,0,15.986,0.01,-0.117,-0.373,0.096,0.095
"SL18-NL-3-FG1",-0.104,-0.004,0,5.634,0.015,-0.038,-0.053,0.251,-0.186
"SL18-OI-9-FG1",0.003,-0.006,0,25.75,0.002,-0.056,-0.492,-0.45,-1.142
"SL18-SF-17-FG1",-0.051,-0.006,0,-24.288,0.024,0.329,0.569,-0.297,0.377
"SL18-LD-1-FG2",-0.11,-0.014,0,-9.114,0.017,0.354,0.685,0.487,1.114
"SL18-OI-11-FG1",0.121,-0.014,0,6.87,0.005,0.576,-0.185,0.323,0.612
"SL18-OI-7-FG3",-0.138,-0.024,0,61.618,0.002,-0.112,0.128,-0.183,0.836
"SL18-LD-10-FG2",-0.192,-0.031,0,-1.464,-0.008,0.305,1.249,-0.1,0.414
"SL18-NL-9-FG2",0.062,-0.036,0,90.057,0.011,-0.256,0.302,0.205,0.228
"SL18-LD-2-FG2",-0.466,-0.041,0,-100.306,0.05,-0.118,0.197,0.287,-0.124
"SL18-LD-10-FG1",-0.256,-0.044,0,-41.991,0.026,0.538,0.558,0.32,0.256
"SL18-LD-3-FG2",-0.12,-0.05,0,-10.661,0.025,0.347,-0.934,0.054,-0.079
"SL18-LD-3-FG1",-0.312,-0.051,0,-55.514,0.005,-0.043,-0.111,-0.333,0.015
"SL18-OI-2-FG2",-0.294,-0.052,0,-81.771,-0.011,-0.007,0.296,0.356,-0.237
"SL18-LD-9-FG3",-0.337,-0.054,0,-73.561,0.039,0.266,0.118,-0.483,-0.13
"SL18-LD-4-FG1",-0.145,-0.055,0,-20.148,0.033,-0.127,-0.019,0.02,0.72
"SL18-NL-10-FG3",-0.334,-0.056,0,-0.991,-0.057,0.582,1.101,0.393,-0.318
"SL18-NL-2-FG3",-0.294,-0.057,0,-69.88,-0.007,0.531,0.277,0.07,-0.176
"SL18-LD-5-FG1",-0.223,-0.058,0,-59.054,0.003,-0.273,-0.221,0,0.484
"SL18-OI-2-FG3",-0.327,-0.065,0,-73.2,-0.007,0.092,-0.458,0.073,-0.429
"SL18-LD-4-FG3",-0.315,-0.066,0,-75.692,0.013,-0.433,0.418,0.104,-0.07
"SL18-OI-6-FG1",-0.181,-0.071,0,-96.989,-0.068,-0.233,-0.301,-0.599,-0.354
"SL18-LD-9-FG2",-0.39,-0.072,0,-91.413,0.031,0.028,0.418,0.262,0.748
"SL18-LD-1-FG3",-0.414,-0.072,0,-29.908,-0.007,0.245,0.24,0.075,-0.16
"SL18-OI-17-FG2",-0.379,-0.072,0,-50.411,-0.007,-0.328,0.024,-0.094,-1.579
"SL18-LD-4-FG2",-0.352,-0.077,0,-72.67,0.022,-0.469,-0.097,-0.449,0.674
"SL18-LD-1-FG1",-0.391,-0.081,0,-9.614,0.013,-0.297,-0.533,0.339,0.166
"SL18-LL-9-FG3",-0.416,-0.09,0,-57.031,0.012,0.188,0.822,0.504,-0.31
